ISIN;Name;Currency;Shares;LastPrice;MarketValueEur;TotalBoughtShares;AvgBuyPrice;TotalSoldShares;AvgSellPrice;Taxes;RealizedPL;UnrealizedPL;TotalPL;PLAmountEUR;PLPercent
DE0005933931;iShares Core DAX (Acc);13;190,46;2475,98;606;190,46;593;185,705986509275;225,43;639,12;-21,58;617,54;-21,58;-0,87;
DE000BY2EAY6;Arm Holdings ADR Long 84,57 Turbo Open End BNP;476;3,3;1594,74;476;3,35029411764706;0;;0;0;233,1;233,1;233,1;14,62;
DE000DK2CDS0;Deka-DividendenStrategie CF (A);6;236,257;1416,5;6;236,083;0;;0;0;-66,1200000000001;-66,12;-66,12;-4,67;
DE000HC2UYK1;MasterCard A Long 344,80 $ Turbo Open End HVB;23;14,72;338,56;23;14,72;0;;0;0;-22,31;-22,31;-22,31;0;
DE000HC64J94;BNP Paribas Long 44,10 € Turbo Open End HVB;400;4,33;1653,56;842;4,1339;442;3,1579185520362;94,83;264,73;-53,56;211,17;-53,56;-3,24;
DE000HD20FX3;MTU Aero Engines Long 231,64 € Turbo Open End HVB;85;10,07;934,35;133;10,9923529411765;48;10,23;0;-59,52;-52,9;-112,42;-52,9;0;
DE000HM07U97;SUSS MicroTec Long 31,78 € Turbo Open End HSBC;55;21,78;942,45;55;17,1354545454545;0;;0;0;604,7;604,7;604,7;64,16;
DE000HT8H082;Siemens Energy Long 99,91 € Turbo Open End HSBC;591;4,79;2648,08;1118;4,48067681895093;527;4,74294117647059;35,8;376,15;448,76;824,91;448,76;0;
DE000PC4T5D6;Deutsche Telekom Long 21,57 Turbo Open End BNP;39;10,89;414,96;93;10,64;54;10,89;0;13,5;-12,87;0,63;-12,87;-3,1;
DE000PD3Q405;Colgate-Palmolive Long Turbo Open End BNP;277;2,37;647,43;277;2,33729241877256;0;;0;0;-46,3400000000001;-46,34;-46,34;-7,16;
DE000PD9G6E0;Hannover Rück Long Turbo Open End BNP;123;8,6;1002,92;173;8,15382113821138;50;7,85;4,34;12,16;321,79;333,95;321,79;32,09;
DE000PE1JH14;adidas Long Turbo Open End BNP;353;4,7;1592,4;353;4,51104815864023;0;;0;0;-187,46;-187,46;-187,46;-11,77;
DE000PE7CC69;E.ON Long Turbo Open End BNP;137;8,18;981,86;876;7,16686131386861;739;5,40158322056834;65,7;183,48;274,43;457,91;274,43;27,95;
DE000PE7YY00;Apple Long Turbo Open End BNP;147;7,21;1081,26;227;7,35551020408163;80;7,53;3,33;10,32;-108,12;-97,8;-108,12;-10;
DE000PE96JN7;Linde Long Turbo Open End BNP;27;12,81;345,87;51;12,81;24;12,31;-4,24;-11,84;53,73;41,89;53,73;15,53;
DE000PF0X5R7;Deutsche Boerse Long Turbo Open End BNP;141;6,46;932,53;141;6,61368794326241;0;;0;0;617,06;617,06;617,06;66,17;
DE000PF4HEP2;Deere & Co Long Turbo Open End BNP;27;24,01;531,12;69;19,6711111111111;42;17,4138095238095;5,69;102,49;11,0399999999999;113,53;11,04;2,08;
DE000PG0M0U3;Alstom Long 16,90 Turbo Open End BNP;1124;0,69;823,86;1881;0,73297153024911;757;0,66;0;-75,7000000000001;-59,5399999999998;-135,24;-59,54;-7,23;
DE000PG0NAJ8;Deutsche Post Long 32,36 Turbo Open End BNP;1094;1,37;1498,78;1094;1,37;0;;0;0;-207,86;-207,86;-207,86;-13,87;
DE000PG0NXQ5;Schneider Electric Long 176,66 Turbo Open End BNP;88;7,32;648,86;88;7,37340909090909;0;;0;0;-68,0600000000001;-68,06;-68,06;-10,49;
DE000PG0W7M3;Palantir Technologies Long 92,22 Turbo Open End BNP;197;5,14;894,43;197;4,5402538071066;0;;0;0;137,85;137,85;137,85;15,41;
DE000PG15BX8;Ryanair Holdings Long 17,16 € Turbo Open End BNP;145;8,17;1186,83;194;8,18503448275862;49;7,73857142857143;-4,4;-11,29;-166,03;-177,32;-166,03;-13,99;
